epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1864.07,1.22708,0.7088,1.23553,0.90848,0.83485,0.92924,0.62438,1.12978,0.63867,1.12446,0.0011882,0.0011882,0.0011882
43,1907.06,1.23468,0.71113,1.23269,0.90796,0.84667,0.93715,0.62439,1.13361,0.63131,1.12303,0.0011684,0.0011684,0.0011684
44,1949.8,1.22875,0.70988,1.23398,0.90077,0.86176,0.93634,0.60792,1.18796,0.63697,1.14895,0.0011486,0.0011486,0.0011486
45,1993.75,1.2286,0.70804,1.23188,0.91194,0.84395,0.93087,0.63533,1.09323,0.61947,1.12397,0.0011288,0.0011288,0.0011288
46,2036.91,1.2247,0.70542,1.22494,0.93775,0.84233,0.94479,0.63993,1.09723,0.60485,1.11313,0.001109,0.001109,0.001109
47,2080.1,1.21044,0.6878,1.21737,0.93956,0.84265,0.94446,0.62451,1.14332,0.61884,1.12952,0.0010892,0.0010892,0.0010892
48,2123.54,1.21948,0.70718,1.22791,0.92264,0.85566,0.93846,0.63069,1.12168,0.59981,1.11085,0.0010694,0.0010694,0.0010694
49,2167.46,1.19438,0.68013,1.20572,0.9268,0.85614,0.93834,0.62492,1.12049,0.62178,1.12618,0.0010496,0.0010496,0.0010496
50,2210.86,1.20887,0.6838,1.21718,0.9198,0.85004,0.94043,0.62078,1.14605,0.61983,1.13127,0.0010298,0.0010298,0.0010298
51,2254.58,1.19733,0.67615,1.20759,0.92533,0.85403,0.93853,0.62133,1.14551,0.62067,1.12482,0.00101,0.00101,0.00101
52,2299.23,1.21322,0.68717,1.21748,0.93035,0.84785,0.93846,0.64594,1.0818,0.5958,1.10386,0.0009902,0.0009902,0.0009902
53,2342.95,1.18525,0.66801,1.20855,0.92751,0.85696,0.9429,0.63614,1.12041,0.59978,1.12479,0.0009704,0.0009704,0.0009704
54,2386.39,1.19122,0.67398,1.21479,0.91957,0.83256,0.93743,0.63543,1.10604,0.60568,1.11229,0.0009506,0.0009506,0.0009506
55,2429.42,1.17976,0.67702,1.20665,0.90891,0.86938,0.94187,0.63051,1.11642,0.59273,1.12158,0.0009308,0.0009308,0.0009308
56,2472.99,1.18495,0.66317,1.20771,0.91978,0.86086,0.9366,0.62891,1.12124,0.59228,1.12151,0.000911,0.000911,0.000911
57,2516.15,1.17668,0.65806,1.20144,0.9448,0.82315,0.92898,0.62089,1.12779,0.60511,1.12871,0.0008912,0.0008912,0.0008912
58,2559.01,1.17392,0.66011,1.19906,0.91557,0.87429,0.9394,0.63339,1.11142,0.59338,1.12027,0.0008714,0.0008714,0.0008714
59,2602.51,1.16897,0.65493,1.18996,0.91373,0.85398,0.92857,0.62642,1.12899,0.59839,1.12321,0.0008516,0.0008516,0.0008516
60,2646.55,1.14653,0.64422,1.18146,0.91089,0.86866,0.9382,0.63853,1.10389,0.57707,1.11831,0.0008318,0.0008318,0.0008318
61,2689.93,1.15135,0.64481,1.18636,0.92887,0.85306,0.94127,0.63071,1.1125,0.57473,1.11298,0.000812,0.000812,0.000812
62,2732.93,1.14743,0.6427,1.18362,0.93179,0.85265,0.93681,0.63848,1.09563,0.58967,1.1114,0.0007922,0.0007922,0.0007922
63,2776.37,1.15049,0.63995,1.18194,0.90369,0.85176,0.9336,0.62341,1.14512,0.59265,1.14049,0.0007724,0.0007724,0.0007724
64,2819.79,1.13397,0.62872,1.18209,0.92206,0.85436,0.93566,0.63144,1.1226,0.59438,1.13314,0.0007526,0.0007526,0.0007526
